Date,Close,ret_d,R_t,sigma_t,MRI_t,MRI_bw0.125,MRI_bw0.25,MRI_bw0.5,MRI_bw1.0,MRI_bw5.0,EP_t,BM_t,IV_t,rf_annual_pct
2002-01-04,1316.455,,,,,,,,,,,,,2.6563
2002-01-07,1302.084,-0.010916438465424116,,,,,,,,,,,,2.6697
2002-01-08,1292.714,-0.007196156315568025,,,,,,,,,,,,2.1578
2002-01-09,1272.645,-0.015524702293005177,,,,,,,,,,,,2.1627
2002-01-10,1281.261,0.0067701519276781585,,,,,,,,,,,,2.1559
2002-01-11,1249.814,-0.02454378928258949,,,,,,,,,,,,2.1096
2002-01-14,1205.146,-0.03573971807004894,,,,,,,,,,,,1.9562
2002-01-15,1186.433,-0.01552757923106407,,,,,,,,,,,,1.9937
2002-01-16,1201.877,0.013017169953971175,,,,,,,,,,,,1.9938
2002-01-17,1152.148,-0.041376114194713765,,,,,,,,,,,,1.9763
2002-01-18,1149.483,-0.0023130708901980546,,,,,,,,,,,,2.4434
2002-01-21,1108.61,-0.03555772464664553,,,,,,,,,,,,2.429
2002-01-22,1109.994,0.001248410171295511,,,,,,,,,,,,2.4531
2002-01-23,1183.154,0.0659102661816191,,,,,,,,,,,,2.5089
2002-01-24,1189.583,0.005433781232198065,,,,,,,,,,,,2.4092
2002-01-25,1189.428,-0.00013029775980322178,,,,,,,,,,,,2.4824
2002-01-28,1112.835,-0.06439481834966054,,,,,,,,,,,,2.4546
2002-01-29,1140.377,0.024749401303876928,,,,,,,,,,,,2.1719
2002-01-30,1145.855,0.004803674574285655,,,,,,,,,,,,2.4178
2002-01-31,1221.76,0.06624311103935487,,,,,,,,,,,,2.4307
2002-02-01,1215.743,-0.004924862493452142,,,,,,,,,,,,2.3604
2002-02-04,1236.969,0.017459282101562668,-0.060378820392645305,0.4953414101412156,,,,,,,,,,2.3615
2002-02-05,1246.842,0.00798160665303671,-0.04242583427797286,0.4956216364614349,,,,,,,,,,2.326
2002-02-06,1216.788,-0.02410409658962409,-0.05873379571970283,0.5014534032576213,,,,,,,,,,2.3832
2002-02-07,1241.023,0.019917191819774693,-0.024847463353881105,0.504789074294049,,,,,,,,,,2.3342
2002-02-08,1235.092,-0.004779121740692838,-0.03603403209806577,0.5042155029482555,,,,,,,,,,2.3256
2002-02-25,1254.611,0.015803681021332894,0.003838171119862732,0.5001024449939521,,,,,,,,,,2.2399
2002-02-26,1253.121,-0.0011876191106247047,0.039808454743242905,0.4824320882393533,,,,,,,,,,2.2136
2002-02-27,1255.997,0.002295069670047889,0.05863289372429792,0.47806501702323895,,,,,,,,,,2.21
2002-02-28,1244.603,-0.009071677718975435,0.03554939482159991,0.47844253111428886,,,,,,,,,,2.2004
2002-03-01,1227.229,-0.013959471413776181,0.06516610713206994,0.4559526206604171,,,,,,,,,,2.2167
2002-03-04,1245.867,0.01518705962782807,0.08384986989803234,0.45721754891078803,,,,,,,,,,2.2648
2002-03-05,1275.614,0.023876545409742933,0.15064269671029495,0.4379938863765394,,,,,,,,,,2.2082
2002-03-06,1288.444,0.010057901528205182,0.1607666347746024,0.4375828325271201,,,,,,,,,,2.0945
2002-03-07,1328.388,0.03100173542660767,0.1227515606590519,0.39332533352670507,,,,,,,,,,2.0814
2002-03-08,1351.854,0.017665019557538963,0.13640998568405904,0.3954496861682559,,,,,,,,,,2.0587
2002-03-11,1377.037,0.018628490946507537,0.15773043849648727,0.39688050799204605,,,,,,,,,,2.0888
2002-03-12,1362.404,-0.010626439231480322,0.22426415416481316,0.30832792939254866,,,,,,,,,,2.0618
2002-03-13,1343.138,-0.014141179855608255,0.17780172697274677,0.3140406988407691,,,,,,,,,,2.0749
2002-03-14,1376.329,0.024711533736667457,0.20113714213403955,0.31901551809812484,,,,,,,,,,2.0596
2002-03-15,1338.702,-0.02733866684491859,0.0957160162388686,0.267878328197815,,,,,,,,,,2.098
