Date,Close,ret_d,R_t,sigma_t,MRI_t,MRI_bw0.125,MRI_bw0.25,MRI_bw0.5,MRI_bw1.0,MRI_bw5.0,EP_t,BM_t,IV_t,rf_d,VRP_t,Future_ExRet,Future_Volatility
2005-01-04,982.794,-0.017206,-0.0713763329912864,0.1546830735145257,0.9750663940514676,0.9984231374412844,0.996848761378098,0.9937074530610484,0.9874545022690756,0.9388267847272465,,,,0.00013701190476190478,,0.009804033726367295,0.25532736963517483
2005-01-05,992.564,0.0099410456311292,-0.0638431922916583,0.1606319111943814,0.9958279251249176,0.9997387339945256,0.9994775362489766,0.9989553454663244,0.9979117822357432,0.989602426748123,,,,0.00012651190476190477,,-0.009586859046104906,0.2581371629855902
2005-01-06,983.174,-0.009460347141343,-0.062018868878562,0.159512528106278,0.9949313172013812,0.9996824521699637,0.9993650051765516,0.9987304135715293,0.9974624389927578,0.9873764239306252,,,,0.00012614285714285714,,0.0006712744870910429,0.26758130056137147
2005-01-07,983.958,0.0007974173442339,-0.0621611626647959,0.1594660644229088,0.9953703800770352,0.9997100189398443,0.999420121968704,0.998840580195939,0.9976825046461602,0.9884661067544248,,,,0.0001221111111111111,,0.00996063632323049,0.26805627459156295
2005-01-10,993.879,0.0100827474343416,-0.0619632648785168,0.1596843762948946,0.994497273963221,0.9996551893480636,0.9993104975905132,0.9986214705945992,0.99724484153252,0.9862999077910852,,,,0.00012475396825396826,,0.003151298750437032,0.2669641716892049
2005-01-11,997.135,0.003276052718691,-0.0444816463738341,0.1547633709901662,0.8028841337567516,0.9863721572157664,0.9729300325304846,0.94659284819977,0.8960380202629527,0.5776066560189321,,,,0.0001240674603174603,,-0.0005121794010274603,0.2720205985305323
2005-01-12,996.748,-0.00038811194071,-0.0392345862748347,0.1542610137557523,0.8204018828372914,0.9877036655668112,0.975558530974115,0.9517144473563732,0.9057603893068472,0.6096304077295807,,,,0.0001236825396825397,,5.738337008260306e-06,0.27935967553281005
2005-01-13,996.877,0.0001294208766908,-0.0361754357807699,0.1543455055883039,0.8284242983280133,0.9883045659161512,0.9767459150107124,0.954032582490114,0.910178168452756,0.6246432790953584,,,,0.00012199999999999998,,-0.0087198510889507,0.2866070524563296
2005-01-14,988.306,-0.0085978510889507,-0.047767426578911,0.1549040528954486,0.8570992668284948,0.990408696761734,0.9809093866212764,0.9621832247617288,0.9257965580128794,0.680107883480992,,,,0.0001208095238095238,,-0.021221561719991722,0.28455003089636255
2005-01-17,967.452,-0.0211007521961822,-0.0637005551297237,0.168023276626049,0.9596357350488828,0.9974282183872484,0.9948630508351606,0.9897524899170432,0.9796099912969868,0.9021235697983888,,,,0.0001226190476190476,,0.007357855435869552,0.2717743495637791
2005-01-18,974.689,0.0074804744834886,-0.047221103503826,0.1698801892303054,0.905217979718703,0.99379560830226,0.9876297110808592,0.975412446209661,0.951429440220715,0.7796199225864495,,,,0.0001216031746031746,,-0.007794819964779175,0.27159056489380246
2005-01-19,967.21,-0.007673216790176,-0.0417714759558657,0.1663341849831953,0.9347704245840625,0.9957929797180518,0.9916036584557564,0.98327781546284,0.9668352623813752,0.8448165400062527,,,,0.00012277380952380952,,-0.01145950523289621,0.2710237147989982
2005-01-20,956.245,-0.0113367314233724,-0.0514562268938488,0.1694189998637116,0.8649958905961328,0.9909765502207208,0.9820345230873608,0.9643918045354204,0.9300515526550842,0.6958812110146728,,,,0.00012657539682539684,,0.027438536054737703,0.26724348829430983
2005-01-21,982.604,0.0275651114515631,-0.0497363236956652,0.1733904645372679,0.8851212678126231,0.9924020975045847,0.9848619231314992,0.9699530076342754,0.9408088370187768,0.7370669542081337,,,,0.00012864682539682538,,0.015675278255306974,0.2601069056589533
2005-01-24,998.133,0.0158039250807038,-0.01711159909799,0.1746408820028584,0.8351930556987582,0.9888073356893192,0.9777399471130098,0.9559754041805512,0.9138889733981684,0.6374809141007988,,,,0.0001238015873015873,,-0.0004824712235123873,0.25598509058377444
2005-01-25,997.775,-0.0003586696362108,-0.018322546876322,0.1745473228319347,0.8543187805289125,0.9902075813306978,0.9805110541247904,0.9614019272609076,0.9242936657409876,0.6746055098259935,,,,0.0001240873015873016,,-0.007988585810770202,0.2565844758650642
2005-01-26,989.928,-0.0078644985091829,-0.0222402204564199,0.1759647252887417,0.9123243648716794,0.9942814330522288,0.988595568112394,0.9773211972914668,0.9551567226752264,0.7950110840201957,,,,0.0001269920634920635,,-0.015579631043296663,0.25489709254753184
2005-01-27,974.631,-0.0154526389798046,-0.0356842852012028,0.1829523737322508,0.9888927266929796,0.999302154877237,0.9986047967422894,0.9972115400767092,0.994430855662162,0.9724627095111272,,,,0.00012580555555555557,,-0.0056889366277253555,0.25285934684073225
